TAXON_NAME_ID,GENUS,SPECIES,AUTHOR_TEXT
526202,Pterichthys,rugosus,"Claypole, 1883"
140733,Pterichthys,testudinaris,Ag.
141521,Pterichthys,,
143606,Pterolepis,nitidus,Kiaer
145201,Pterolepis,nitilus,Kiaer
144058,Pterolepis,,
138664,Pteroplax,cornuta,Hancock & Atthey
137721,Pterosphenus,,
140125,Pterygocephalus,paradoxus,Ag.
142992,Pterygolepis,nitidus,Kiaer
136053,Ptyonius,nummifer,Cope
136052,Ptyonius,serrula,"(Cope, 1871)"
147473,Ptyonius,,
141739,Punctatumvestigium,circulformis,Butts
138778,Purgatorius,unio,"Van Valen and Sloan, 1965"
139172,Purgatorius,,
146793,Pycnaspis,,
142314,Pycnodus,hugii,
140101,Pycnodus,platessus,(Blainville)
141577,Pycnosterynx,russeggeri,
145124,Pygaeus,agassizii,Eastman
140516,Pygaeus,coleanus,Agassiz
454351,Pygal,,
144555,Pygopterus,humboldti,
142317,Pyncodus,bernardi,
144111,Pyritocephalus,lineatus,(Newberry)
138554,Ramapithecus,brevirostris,
136098,Ramapithecus,hariensis,
138570,Ramapithecus,punjabicus,
417771,Rana,jageri,von Meyer
139849,Redfieldii,gracilis,Redfield
139848,Redfieldii,redfieldi,Egerton
143561,Redfieldius,gracilis,(Redfield)
143562,Redfieldius,redfieldi,(Edgerton)
147202,Regalites,ischigualastianus,v. Huene
138458,Reithronycterus,,
140673,Remigolepis,,
141251,Revocottus,divaricatus,
138628,Rhabdoderma,elegans,(Newberry)
139351,Rhabdoderma,,"Schmidle & Lauterborn, 1900"
146670,Rhabdolepis,,
142460,Rhacolepis,buccalis,Agassiz
141141,Rhacolepis,latus,
141142,Rhacolepis,,
141252,Rhadbofario,,
145878,Rhadinacanthus,longispinus,(Agassiz)
138722,Rhagamys,orthodon,(Hensel)
138624,Rhamphocephalus,,
139804,Rhamphodopsis,trispinatus,Watson
144077,Rhamphodus,,
138421,Rhamphorhynchus,kokeni,Plieniger
136268,Rhamphorhynchus,longicaudum,Mnnster
147471,Rhamphorhynchus,suevicus,Fraas
139901,Rhamphorhyncus,phyllurus,
145216,Rhamphosus,aculeatus,(Blainville)
140196,Rhinellus,damoni,Davis
140195,Rhinellus,ferox,Davis
140194,Rhinellus,furcatus,
138918,Rhinochelys,pulchriceps,(Owen)
147463,Rhinochelys,,
147130,Rhizodapsis,,
139819,Rhizodopsis,sauroides,Will.
144553,Rhizodopsis,,
138063,Rhodopagus,minimus,
143201,Rhodopagus,pygmaeus,
147251,Rhodopaous,pygmaeus,
140692,Rhomalcosaurus,,
144057,Rhyncholepis,parvulus,Kiaer
594905,Rhyncholepis,,Kiaer 1911
140638,Rhynchosauroides,,
138727,Rhynchotherium,tlasealae,Osborn
138234,Rhynchotherium,,
145200,Rhyncolepis,parvulus,Kiaer
136464,Rhynehosaur,,
138003,Riojasuchus,tenuisceps,
138585,Romeria,primus,Clark & Carroll
137658,Romeria,texana,Price
141437,Romeria,,"Koczwara, 1932"
146533,Rooneyia,viejaensis,"Wilson, 1966"
145932,Ruthiromia,elcobriensis,Eberth & Brinkman
147455,Rutidon,carolinensis,Emmons
135757,Rutidon,,
137005,Rutiodon,,
139770,Rytiodus,capgrandi,Larptet
138855,Sarcodon,pygmaeus,"Matthew & Granger, 1925"
525921,Sarcolemur,gracilis,
139481,Sardinoides,monasteri,(Agassiz)
139482,Sardinus,cordieri,(Agassiz)
139626,Saudalodus,laevissimus,
146385,Saudalodus,,
138325,Sauerpeton,obtusam,
137956,Saurocetus,gibbesi,
454352,Saurocetus,,
141149,Saurodon,,
454249,Sauropleura,newberryi,Cope
136001,Sauropleura,pectinata,Cope
147522,Sauropsis,latus,
141715,Sauropus,brunensis,
330340,Saurosuchus,galilei,
139902,Scalenodon,angustifrons,
139369,Scalenodon,hirchsoni,
141470,Scapanorhynchus,raphiodon,(Ag.)
136270,Scaphognathus,crassirostris,"Wagner, 1861"
145339,Scaphognathus,purdoni,Newton
147635,Scaphonx,fischeri,
138131,Scaphonx,sanjuanensis,
142473,Scaphthalmus,minimus,Agassiz
139790,Scarrittia,,
139477,Scaumenacia,curta,Whiteaves
140671,Scaumenacia,,
141303,Scaumenella,mesacanthi,
146932,Scaumenella,,
138015,Scenopagus,mcgrewi,"McKenna and Simpson, 1959"
137829,Schaubeumys,,
137301,Schizodelphis,canaliculatus,
145605,Schizodelphis,crassangulum,
146521,Schizodelphis,depressus,
136085,Schizodontomys,sulcidens,"Rensberger, 1973"
138085,Schizotheroides,parvus,
138084,Schlosseria,magister,
138649,Scincosaurus,crassus,(Fritsch)
141442,Sciuravus,eucristadens,
137251,Sciuravus,nitidus,
145613,Sciuroides,rutimeyeri,Major
140186,Scombroclupea,macrophthalma,
143550,Scombroclupea,macrophthalmus,(Heckel)
147006,Scorpaenoides,popovicii,Priem
137307,Scotiophryne,pustulosa,
137835,Scottimus,kellamorum,"Black, 1961"
138716,Scottimus,lophatus,A.E. Wood
141573,Scrombroclupea,macropthalmus,
139894,Scutellosaurus,lawleri,
136202,Secodonotsaurus,,
138070,Selenaletes,scopaeus,
139846,Semionatus,redfieldi,Egerton
139459,Serridentinus,,
139927,Sespedectes,singularis,
138715,Sespemys,,
146988,Seylliodus,antiquus,
136460,Seymouria,baylorensis,Broili
136712,Seymouria,,
139266,Shielia,taiti,Stetson
147670,Shoshonius,cooperi,"Granger, 1910"
139929,Shoshonius,,
145693,Shuotherium,dongi,
144099,Siegops,divaricata,
141496,Simpsonotus,major,
141495,Simpsonotus,praecursor,
136676,Sinopa,,
143245,Sinostylops,progressus,
145044,Sinostylops,promissus,
139965,Sipalocyon,gracilis,"Ameghino, 1887"
139973,Sipalocyon,obusta,"(Mercerat, 1898)"
139964,Sipalocyon,,"Ameghino, 1887"
137878,Smilodectes,gracilis,(Marsh)
139980,Smithonsinus,,
